Password No., Original Entropy, Bcrypt Entropy, Argon2 Entropy
1, 3.2776, 4.8379, 5.6088
2, 3.5850, 5.1566, 5.3870
3, 2.9477, 5.0899, 5.4695
4, 3.0000, 5.0025, 5.4195
5, 3.5850, 5.2773, 5.5392
6, 3.3219, 5.0232, 5.4255
7, 3.3219, 4.9631, 5.4901
8, 3.0000, 5.2314, 5.5520
9, 3.5850, 5.1106, 5.3715
10, 3.1699, 5.1025, 5.5263
11, 3.5850, 5.2106, 5.3536
12, 3.1699, 5.0423, 5.4851
13, 3.0000, 4.9440, 5.3498
14, 3.4594, 5.0899, 5.4529
15, 3.2776, 5.2566, 5.5263
16, 3.0958, 5.2090, 5.5158
17, 2.7500, 5.0106, 5.4529
18, 3.1219, 5.0522, 5.5185
19, 3.5850, 5.1025, 5.4350
20, 3.4594, 5.2232, 5.4773
21, 3.0000, 5.0773, 5.4685
22, 3.3219, 4.8773, 5.4272
23, 3.1699, 5.1106, 5.4333
24, 3.2776, 5.1566, 5.4235
25, 3.2776, 5.0314, 5.4813
26, 3.5850, 4.8855, 5.4864
27, 3.4594, 5.1566, 5.5286
28, 3.0000, 5.0981, 5.3978
29, 3.1699, 5.1232, 5.4658
30, 3.0958, 5.2817, 5.4205
31, 3.1699, 5.0691, 5.5043
32, 3.1699, 5.3025, 5.5459
33, 3.1699, 5.2232, 5.3322
34, 3.4183, 5.3358, 5.4039
35, 2.7500, 5.1817, 5.4786
36, 3.3219, 5.0817, 5.3793
37, 2.9477, 4.9440, 5.4313
38, 3.3219, 4.9981, 5.5598
39, 3.3219, 5.1675, 5.4763
40, 2.9219, 5.1566, 5.4451
41, 3.0000, 5.0964, 5.4901
42, 3.1699, 5.2358, 5.3938
43, 2.7255, 5.3106, 5.4205
44, 3.1699, 5.0484, 5.4174
45, 3.2776, 5.2025, 5.5276
46, 3.1699, 5.1566, 5.4901
47, 2.9219, 5.0631, 5.5510
48, 2.9477, 5.1566, 5.5777
49, 3.5850, 5.2484, 5.4803
50, 3.1699, 5.2025, 5.5314
51, 2.7500, 5.0899, 5.3433
52, 3.4183, 5.0188, 5.4878
53, 2.9477, 4.8773, 5.4773
54, 3.4183, 5.0440, 5.3823
55, 2.9477, 5.0358, 5.5909
56, 3.2776, 5.0773, 5.5006
57, 3.3219, 5.1647, 5.5019
58, 3.3219, 5.2691, 5.5392
59, 2.4194, 5.0232, 5.5070
